"name","status","address_street","address_street2","address_city","address_state","address_zip","description","population_size","projects","web","issues","org_types"
"Dorothy's Place: Youth Alive",1,"32101 McCoy Road","","Soledad","CA",93960,"<p><strong>**All students registering&nbsp; this site for their service learning placement must complete the chinatown background &amp; safety training</strong>**<br /><br /><a href=\"http://service.csumb.edu/site/x19104.xml\">http://service.csumb.edu/site/x19104.xml</a></p>
<p><br /><br />This children's program is an outreach effort in two Soledad farm workers camps that the Franciscan Workers of Junipero Serra, through Dorothy's Place, have been involved in for over 15 year. Part of this work is Margaret's Place, which is a year-round academic support and recreational program for children. We recently acquired a mobile computer lab for the children to help them learn technology skills.</p>",200,"<p>Family-based microenterprise (making tortillas) to help students get through winter months.</p>","http://www.dorothysplace.org","Youth Development|Technology|Literacy|Education|Before/After School","Non-Profit"
"Drawbridge",0,"Mercy Housing 125 Sycamore St.","","Santa Cruz","CA",95060,"The mission of Drawbridge is to provide art programs for homeless and other vulnerable children in an environment that fosters their sense of joy, creativity and exuberance.","5,000","I am open to students who would like to do a mural with the children, make a video about Drawbridge or anything wlse. Please just ask me if you have an idea. ","http://www.drawbridge.org","Youth Development|Housing & Homelessness|Education|Day Care|Before/After School|Arts","Non-Profit"
"E.A. Hall Middle School",1,"201 Brewington Avenue","","Watsonville","CA",95076,"7th & 8th grade school with special education.  Resource, mild-moderate, moderate, moderate-severe.",610,"","http://www.eahallmiddleschool.pvusd.net","Education|Literacy|Youth Development","Government|Middle School"
"CSUMB Early Development Services",1,"100 Campus Center, Bldg. 91","","Seaside","CA",93955,"<p>To enhance the availability and accessibility of a range of flexible responsive and inclusive quality child care, professional development, and parent education services that support the needs of children families and child care providers utilizing a relationship based approach.</p>",48,"<p>Will provide support to student on their special/Capstone project they choose.</p>","http://www.earlydevelopmentservices.com","Youth Development|Housing & Homelessness|Health & Human Services|Food/Gardening|Environment|Education|Day Care|Advocacy","For-Profit"
"Early Development Services",1,"100 Campus Drive Building #91","","Seaside ","",93955,"<div><span style=\"font-size: 8pt; color: #7f7f7f; line-height: 140%; font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">The philosophy of Early Development Services, Inc. is based on a set of strongly held beliefs:<br /></span></div>
<div><span style=\"font-size: 8pt; color: #7f7f7f; line-height: 140%; font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">*<strong><span style=\"font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">We believe</span></strong>&nbsp;children have the right to a nurturing, safe environment where they can feel comfortable and secure.</span></div>
<div><span style=\"font-size: 8pt; color: #7f7f7f; line-height: 140%; font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">*<strong><span style=\"font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">We believe</span></strong>&nbsp;in
 developing the \"whole child\" - social, emotional, physical, cognitive, 
and creative and that the agency&nbsp; staff have the responsibility to 
provide opportunities for this development to occur.</span></div>
<div><span style=\"font-size: 8pt; color: #7f7f7f; line-height: 140%; font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">*<strong><span style=\"font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">We believe</span></strong>&nbsp;children have to develop socially in order to be prepared academically.</span></div>
<div><span style=\"font-size: 8pt; color: #7f7f7f; line-height: 140%; font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">*<strong><span style=\"font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">We accept</span></strong>&nbsp;each
 child as a unique and worthy individual with a pattern of growth, 
personality, learning style, and family background which is respected 
and valued.</span></div>
<div><span style=\"font-size: 8pt; color: #7f7f7f; line-height: 140%; font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">*<strong><span style=\"font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">We provide</span></strong>&nbsp;developmentally appropriate activities that focus on the process of learning and help children enjoy successful experiences.</span></div>
<div><span style=\"font-size: 8pt; color: #7f7f7f; line-height: 140%; font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">*<strong><span style=\"font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">We strive</span></strong>&nbsp;to provide each child the opportunity to appreciate sameness and difference.</span></div>
<div><span style=\"font-size: 8pt; color: #7f7f7f; line-height: 140%; font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">*<strong><span style=\"font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">We strive</span></strong>&nbsp;to create a mutual respect between home caregivers and center caregivers.</span></div>
<div><strong><span style=\"font-size: 8pt; color: #7f7f7f; line-height: 140%; font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">*We support</span></strong><span style=\"font-size: 8pt; color: #7f7f7f; line-height: 140%; font-family: &quot;verdana&quot;,&quot;sans-serif&quot;;\">&nbsp;and celebrate ethnic and family diversity.</span></div>",48,"<p>We will provide support to student on their special/capstone project they choose.</p>","http://www.earlydevelopmentservices.com","Youth Development|Housing & Homelessness|Health & Human Services|Food/Gardening|Environment|Education|Day Care|Advocacy","For-Profit"
"El Pajaro Community Development Corporation",1,"23E Beach St #209","","Watsonville","CA",95076,"El Pajaro Community Development Corporation was formed in 1978 with the mission of ¿Promoting equal access to economic opportunity. Since its inception, El Pajaro CDC has focused on developing micro-enterprises and small businesses. The organization has successfully assisted hundreds of small businesses with technical assistance, loans, business plans, marketing, management, business technology applications and accounting/bookkeeping.  One of El Pajaro CDC¿s hallmark projects is Plaza Vigil, which was built in 1996, and is one of the few retail business incubators in the U. S. and perhaps the only one serving Latinos. Plaza Vigil has always been a vibrant community resource located in the heart of Watsonville¿s downtown.   El Pajaro CDC acts as the micro-enterprise development partner for Childcare Ventures, a child care outreach, education and business development project providing assistance to Latino, monolingual family childcare providers. El Pajaro CDC has also fostered the creation of the Watsonville Childcare Providers Association with membership of 55 women that manage their own businesses at home. During the FY06/07 El Pajaro CDC served 588 clients, from those 67% percent were women and 95% percent were Hispanic. Some of El Pajaro CDC¿s major accomplishments for FY06/07 include the following: 
El Pajaro CDC was able to exceed its goals in terms of number of hours and number of current and prospective businesses that received services. This was possible thanks to the establishment of partnerships that allowed El Pajaro CDC to leverage new funds and resources. 

El Pajaro CDC was able to exceed its goals in terms of number of hours and number of current and prospective businesses that received services. This was possible thanks to the establishment of partnerships that allowed El Pajaro CDC to leverage new funds and resources. 

One-on-one technical assistance. With assistance from the Appleton grant and other funds, El Pajaro CDC provided over 1369 hours of bilingual technical assistance to Watsonville and Pajaro Valley residents, including assistance to 14 Plaza Vigil Business Incubator Merchants and the Plaza Vigil Merchants association, Small Farmers, Family Childcare Providers and Cal Works Clients. This included clients that attended training and one-on one counseling sessions.

Training. - A total of 123 hours of training were provided to 288 current and prospective business owners in the Watsonville and Pajaro Valley area. Trainings provided by El Pajaro CDC included Business Plan Training workshops for new entrepreneurs, small farmer and the Plaza Vigil¿s Incubator tenants.

Micro-lending: Thanks to the funds granted by the Appleton Foundation our organization was able to renew The Community Partnership Loan Program with the Santa Cruz Community Credit Union and increase the total amount of the Revolving Loan fund. El Pajaro CDC initially had $11K in available for lending. During the past year, the loan fund was increased to $50K. El Pajaro CDC used the $14K granted by the Appleton Foundation for this purpose and additional $25K that El Pajaro CDC deposited from el Pajaro CDC¿s reserve. This decision made by El Pajaro CDC¿s shows the commitment that this organization has to its organizational mission of ¿Promoting equal access to economic opportunity.¿ In addition to this, The Santa Cruz Community Credit Union is matching the fund 2:1. Therefore, the total amount available for loan is $100K. El Pajaro CDC considers this a tremendous success and continues seeking funds to increase the loan fund.

",7500,"Market Research for Plaza Vigil Incubator Program
Women's Business Education and Loan Program
Plaza Vigil Incubator Clients Business Plans
City of Greenfield Business and Microbusiness Development Project","http://www.elpajarodc.org","Agriculture|Community/Economic Development|Women's Issues","Non-Profit"
"El Teatro Campesino",0,"705 Fourth Street","","San Juan Bautista","CA",95045,"<p>To create a popular art with 21st century tools that persenta a more just and accurate account of human history, while encouraging the young women and men of a new generation to take control of their own destiny through creative discipline, vibrant education, economic independence, and artistic excellence.</p>","","<p>Yes.</p>","http://www.elteatrocampesino.com","Technology|Media|Education|Arts","Non-Profit"
"Thomas Carman Food Pantry",1,"425 Carmel Ave","","Marina","",93933,"",7615,"<p>Fund Raising &amp; Communications systems improvement</p>","http://www.epiphanymarina.org","Housing & Homelessness|Food/Gardening","Non-Profit"
"Everyone's Harvest - Cosecha Para Todos",1,"280 Reservation Rd.","","Marina","CA",93933,"<p>To support local farmers, encourage organic farming and increase local community's access to fresh fruits and vegetables.
To support locally owned businesses, especially those that produce what they sell.
We run the Marina, Pacific Grove, &amp; Alisal Certified Farmers' Markets for the benefit of farmers and consumers alike.</p>
<p>Everyone's Harvest is also involved in the Salinas Marina Food Project supporting community gardens and running an Edible Education for health Youth Program using the farmers' markets as an outdoor classroom to teach youth and families about nutrituion, small-sale farmers and local produce.</p>",5000,"<p><!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:PunctuationKerning /> <w:ValidateAgainstSchemas /> <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid> <w:IgnoreMixedContent>false</w:IgnoreMixedContent> <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText> <w:Compatibility> <w:BreakWrappedTables /> <w:SnapToGridInCell /> <w:WrapTextWithPunct /> <w:UseAsianBreakRules /> <w:DontGrowAutofit /> </w:Compatibility> <w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel> </w:WordDocument> </xml><![endif]--><!--[if gte mso 9]><xml> <w:LatentStyles DefLockedState=\"false\" LatentStyleCount=\"156\"> </w:LatentStyles> </xml><![endif]--><!--[if gte mso 10]>
<style>
 /* Style Definitions */
 table.MsoNormalTable
	{mso-style-name:\"Table Normal\";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-parent:\"\";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:10.0pt;
	font-family:\"Times New Roman\";
	mso-ansi-language:#0400;
	mso-fareast-language:#0400;
	mso-bidi-language:#0400;}
</style>
<![endif]--></p>
<p class=\"description\"><strong>1-Edible Education
for Healthy Youth: Working to conduct</strong></p>
<p class=\"description\">- Healthy Cooking Workshops engaging family members in
inter-active cooking workshops where chefs and families come to Everyone&rsquo;s
Harvest outdoor kitchen to prepare and cook healthy recipes together using
fresh fruits and vegetables for the farmers&rsquo; markets.<span>&nbsp; </span></p>
<p class=\"description\">-Inter-active Nutritional Presentations at various
after-school clubs and other venues informing youth about the importance of
healthy eating, active living and where to get fresh healthy food.</p>
<p class=\"description\">-Farmers&rsquo; Markets scavenger hunts helping youth discover
the bounty of fresh nutritious food.</p>
<p class=\"description\"><span style=\"text-decoration: underline;\">Need</span>: Up to 2 students per semester</p>
<p class=\"description\"><strong>2-Reusable Bag
Project: </strong>Working with customers and vendors to decrease the amount of
plastic bags used, and design educational material about re-usable bags,
offering events where the public can make their own re-usable bag.<span>&nbsp; </span></p>
<p class=\"description\"><strong>3-Music at the
Farmers&rsquo; Markets:</strong> working to create a system to bring consistent musicians
to play at the markets, or playing (if you like).</p>","http://www.everyonesharvest.org","Health & Human Services|Environment|Agriculture","Non-Profit"
"Harvey House and Railroad Museum",1,"20 Station Place","","Salinas","",93901,"<p>The purpose of the non-profit foundation is to utilize its unique asset (the first mayor's house) to provide the community with a snapshot of family life in an agricultural town of the 1870's and to tell the story of transportation and the development of the Salinas Valley.&nbsp; Specifically, our purpose is to support the teaching of history and social studies in Monterey County schools.&nbsp; In the next year, we intend to complete renovation of the education center and begin our educational programs.</p>",2000,"","http://www.firstmayorshouse.org","Education","Non-Profit"
"Fort Ord Environmental Justice Network",1,"335 El Dorado","P.O. Box 361","Marina","CA",93933,"","1000+","Coming from prior service learning experience","http://www.foejn.org","Law & Legal Services|Environment|Education|Community/Economic Development|Advocacy","Non-Profit"
"Food Bank for Monterey County",1,"815 West Market St. #5","","Salinas","CA",93901,"The Food Bank for Monterey County is committed \"to lead efforts in the awareness and elimination of hunger in Monterey County\". We provide an efficient, cost-effective, centralized system for collecting and distributing food that reduces waste and alleviates hunger in Monterey County. We also solicit donations of food, purchase staple foods, and distribute emergency and supplemental food to needy people and local charities.","","","http://www.food4hungry.org","Advocacy|Health & Human Services|Housing & Homelessness|Social Services","Non-Profit"
"Forest Theater Guild",1,"10th and Mission Ave","P.O. Box 2325","Carmel","CA",93921,"","150+","<p>The Guild is a community service organization dedicated to building stronger communities through theater. Our program provides the following suggested opportunities for a capstone project:
1) The All-Star Program fills an important gap in public education for providing standards-based live performing arts experiences to county youth. The program meets several goals, including, but not limited to the following: 1) Enhances cross cultural communication for our youth; 2) Exposes under served youth to live performing arts; 3) Builds audience diversity; and 4)Strengthens collaborations in the arts community.
A capstone project should/could consider the importance of live performing arts education to youth, particularly to those in under served communities, in preventing increased gang association, violence and drop-outs. Moreover, research indicates that there's an inequity in the availability of arts to students with wealthier, higher performing schools receiving the resources for arts education, while lower performing schools are denied it. A student project could investigate the differences in our school districts county-wide, track the patterns of violence in our community, and provide valuable information to educators and administrators alike. 
Another suggested option would be to measure the impact of the performing arts experience on the participants. The evaluative study could measure changes in attitudes and cultural perceptions, reading comprehension, self confidence, leadership skills, and appreciation of the literature and the ability of the students to apply it to other disciplines.
2)Graphic Design and Marketing: A capstone project could investigate the value of marketing for a small non-profit. It would consider multiple approaches to successful brand identity and tailored marketing to diverse audiences. The research could/would identify a need for a diversified approach, identify new audiences and develop key messages, create new avenues for effective and affordable advertising, and provide a cost/benefit analysis of marketing for small non-profit organizations. Finally, the special project would measure the success of the promotion in terms of increased visibility for the organization, ticket and box office sales, increased membership and individual donations, and greater awareness of the Forest Theater Guild and its legacy in the community.
3)F.T. Renner Student Short Film Festival: A Capstone project would be in project management. This intern will be taking the concept and implementing the expanded program from beginning to end. This would include initial research into the various film schools, finding sponsors, selecting the films, working with local screen writers and directors, promoting the event, working with selected vendors, and coordinating the event.
In addition to working with the executive director, the interns will also be mentored by Dr. Barbara Mossberg, a professor who teaches service learning and Hamish Tyler, Administrator for the Arts of Monterey County Office of Education and High School teacher with 32 years of teaching experience.</p>","http://www.foresttheaterguild.org","Youth Development|Violence Prevention|Technology|Media|Literacy|Immigration |Environment|Education|Arts","Non-Profit"
"Gavilan College Small Business Development Center",0,"8351 Church St., Bldg E","","Gilroy","CA",95020,"Our mission is to provide business owners and managers with information, training and expert individual consulting.  Gavilan College Small Business Development Center was established to meet the specialized needs of the small business community of the Gavilan College District, including Gilroy, Morgan Hill, San Benito County, and Monterey County (east of the Salinas river). ","","","http://www.gavilansbdc.org","Agriculture|Education|Technology","College/University"
"Gil Basketball Academy",1,"1522 Constitution Blvd. #213","","Salinas","",93905,"<p>GBA&rsquo;s goal is to help the youth in our community \"Shoot for, and Reach 
their goals\" by participating in an organized basketball skills academy 
for boys and girls ages 4 to 17. GBA offers instruction in every facet 
of the game of basketball from basic fundamentals, to conditioning, 
speed and agility training, and learning to play the game the right way 
with respect and honor.</p>
<p><strong>Meeting place:&nbsp; </strong>Alisal High School Large Gym: 777 Williams Road, Salinas&nbsp;</p>
<p><strong>NOTE:</strong> Service Learning Student will need to pay $10 for Academy identification badge.</p>
<p>&nbsp;</p>",250,"","http://www.gilbasketballacademy.com","Youth Development|Nutrition/Fitness|Education|Before/After School","Non-Profit"
"Girl Scouts of California's Central Coast",1,"10550 Merritt Street","","Castroville","CA",95012,"Girl Scouting builds girls of courage, confidence and character who make the world a better place. 
Central coast living provides a richness which when added to the Girl Scout program creates options only limited by the girls themselves in choosing and designing activities that follow their interests and dreams. From fitness in rock climbing, soccer and surfing to art and mural design, girls are presented with a multitude of options. Plus, by tapping into scientific and marine biology resources and the mosaic of cultures, food and music to be found in the local region, girls acquire understanding and growth in knowledge.

Just as the geography of the three counties is diverse, so are its communities and residents. Since its inception, Girl Scouts of the Monterey Bay has taken responsibility to be a community resource, leading as well as collaborating to create outreach programs in migrant camps and other non-traditional settings, and tackling such contemporary issues as teen parenthood, drugs and alcohol.
","","Marketing: Identify marketing techniques to increase Latino parent participation in communities. 
Management: Help co-manage a Service Unit that contains 100 troops or more. Would develop SL student administrative skills such as budgeting, marketing, human resources and much more.
Community Outreach: Create and deliver short and long term programs to low income girls and Julietes (girls without a troop).
Recruit/Event Planning: Assisting Service Units with event planning that deal with recruitment.
","http://www.girlscoutsccc.org","Youth Development|Before/After School","Non-Profit"
"Girls Inc of the Centeral Coast",1,"369 Main Street, Suite M","","Salinas","",93901,"<p>The mission of Girls Incorporated is to inspire all girls to be strong, smart and bold, to respect themselves and the world around them.</p>
<p>Girls Incorporated of the Central Coast is an affiliate of the Girls Incorporated national organization, the nation's leading research and evaluation organization on issues pertaining to girls and young women.&nbsp; We work with girls ages 9 to 18 with proven \"girl-focused\" programs at our outreach sites established at schools throughout Monterey County.&nbsp; Girls Inc. of the Central Coast has grownn to serve over 900 girls in 20 schools in 6 cities.&nbsp; In the future, we plan to offer our programs in San Benito and Santa Cruz counties.</p>
<p>The oldest girl-centered organization in the United States, Girls Inc. has been transforming girls' views of themselves and their opportunities for generations.&nbsp; Girls Inc. of the Central Coast is much more than an after school program, we are the place and have the people to help girls succeed.</p>","","<p>To be determined.</p>","http://www.girlsinccc.org","Youth Development|Women's Issues|Education","Non-Profit"
"Life Cycle After School Tutoring Program, a project of the Great Victory Temple Church of God in Christ",1,"1620 Broadway","1602 Harding","Seaside","",93955,"<p><strong>Great Victory Temple Church of God in Christ</strong> is a ministry dedicated to soul winning, personal change, training, love, dedication, spiritual restoration and growth, team work, service, fellowship commitment to God and our community.</p>",150,"<p>n/a</p>","http://www.greatervictorytemple.org","Youth Development|Public Safety|Poverty|Education|Before/After School","Non-Profit|Faith-Based"
"Green Acres Elementary School",1,"966 Bostwick Lane","","Santa Cruz","CA",95062,"Public education of Pre-K through 5th grade students in the Live Oak School District of Santa Cruz, Ca
Green Acres is the original site of a National Science gardening program called Life Lab.

Green Acres has achieved the California Distinguished School status honor.

Green Acres is a Trianing site for the National recognized Literacy program Reading Recovery.

Green Acres is a host site for a diverse field of educational technolgy training.

Green Acres is a literacy qualified school with a program called Breakthrough to Literacy.","","","http://www.greenacres.santacruz.k12.ca.us/","Education","Elementary School"
"Cesar E. Chavez Elementary School",1,"250 Apple Avenue","","Greenfield","CA",93927,"<p>Educational needs of K-5 students diverse population.</p>
<p>The Greenfield Union School District is a child-centered District, 
committed to preparing its diverse student population with a quality 
education and providing the support necessary to maximize student's 
potential so that they become life-long learners and positive 
contributors to our global society.</p>","","","http://www.greenfield.k12.ca.us","Youth Development|Literacy|Education","Elementary School"
"Good Shepherd Catholic School",0,"2727 Mattison Lane","","Santa Cruz","CA",95065,"An inter-parish school that commits itself to excellence in education throug hthe creation of a nurturing and stimulating enviornment that embraces and proclaims religious, academic, social, physical and aesthetic values.","","","http://www.gsschool.org","Education|Youth Development","Elementary School|Middle School"
"Guitars Not Guns",1,"286 Mar Vista Monterey, CA 93940","542 Ortiz Ave #5","Sand City","",93955,"<p>Guitars Not Guns provide guitars and lessons to foster kids, at risk youth and other children in a classroom setting with qualified teachers.&nbsp; Each student is assigned a beginner guitar when they come to the first class.&nbsp; They are allowed to take their guitars home with them and are asked to pracitce 30 minutes each day.</p>
<p>Classrooms are donated locations and teacher are all volunteers.&nbsp; Volunteers are required to have a background check.&nbsp;&nbsp; Level 1 books are printed and made to fit Guitars Not Guns program with consideration of where each student needs to begin.</p>
<p>Many students have been abused and may have low self-esteem.&nbsp; By learning to play the guitar it may help build self esteem and teach confidence.</p>","TBD","<p>n/a</p>","http://www.guitarsnotguns.org/Monterey","Public Safety|Music/Performance Arts|Before/After School","Non-Profit"
"Gonzales High School ",1,"501 5th St.","","Gonzales","CA",93926,"Educational Institution    ",800,"Possible Projects ","http://www.gusd-district.com","Education","High School"
"Habitat for Humanity Santa Cruz Cnty.",0,"8950 Monroe Ave.","","Aptos","CA",95001,"To provide decent and affordable housing to low-income families.",200,"Help organize and participate in the Human Race event.","http://www.habitatsc.org","Housing & Homelessness","Non-Profit"
"Happy Valley Elementary School- HVESD",1,"3125 Branciforte Drive","","Santa Cruz","",95065,"<p><!--[if gte mso 9]><xml> <w:WordDocument> <w:View>Normal</w:View> <w:Zoom>0</w:Zoom> <w:TrackMoves /> <w:TrackFormatting /> <w:PunctuationKerning /> <w:ValidateAgainstSchemas /> <w:SaveIfXMLInvalid>false</w:SaveIfXMLInvalid> <w:IgnoreMixedContent>false</w:IgnoreMixedContent> <w:AlwaysShowPlaceholderText>false</w:AlwaysShowPlaceholderText> <w:DoNotPromoteQF /> <w:LidThemeOther>EN-US</w:LidThemeOther> <w:LidThemeAsian>ZH-CN</w:LidThemeAsian> <w:LidThemeComplexScript>X-NONE</w:LidThemeComplexScript> <w:Compatibility> <w:BreakWrappedTables /> <w:SnapToGridInCell /> <w:WrapTextWithPunct /> <w:UseAsianBreakRules /> <w:DontGrowAutofit /> <w:SplitPgBreakAndParaMark /> <w:DontVertAlignCellWithSp /> <w:DontBreakConstrainedForcedTables /> <w:DontVertAlignInTxbx /> <w:Word11KerningPairs /> <w:CachedColBalance /> <w:UseFELayout /> </w:Compatibility> <w:BrowserLevel>MicrosoftInternetExplorer4</w:BrowserLevel> <m:mathPr> <m:mathFont m:val=\"Cambria Math\" /> <m:brkBin m:val=\"before\" /> <m:brkBinSub m:val=\"&#45;-\" /> <m:smallFrac m:val=\"off\" /> <m:dispDef /> <m:lMargin m:val=\"0\" /> <m:rMargin m:val=\"0\" /> <m:defJc m:val=\"centerGroup\" /> <m:wrapIndent m:val=\"1440\" /> <m:intLim m:val=\"subSup\" /> <m:naryLim m:val=\"undOvr\" /> </m:mathPr></w:WordDocument> </xml><![endif]--><!--[if gte mso 9]><xml> <w:LatentStyles DefLockedState=\"false\" DefUnhideWhenUsed=\"true\"
  DefSemiHidden=\"true\" DefQFormat=\"false\" DefPriority=\"99\"
  LatentStyleCount=\"267\"> <w:LsdException Locked=\"false\" Priority=\"0\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" QFormat=\"true\" Name=\"Normal\" /> <w:LsdException Locked=\"false\" Priority=\"9\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" QFormat=\"true\" Name=\"heading 1\" /> <w:LsdException Locked=\"false\" Priority=\"9\" QFormat=\"true\" Name=\"heading 2\" /> <w:LsdException Locked=\"false\" Priority=\"9\" QFormat=\"true\" Name=\"heading 3\" /> <w:LsdException Locked=\"false\" Priority=\"9\" QFormat=\"true\" Name=\"heading 4\" /> <w:LsdException Locked=\"false\" Priority=\"9\" QFormat=\"true\" Name=\"heading 5\" /> <w:LsdException Locked=\"false\" Priority=\"9\" QFormat=\"true\" Name=\"heading 6\" /> <w:LsdException Locked=\"false\" Priority=\"9\" QFormat=\"true\" Name=\"heading 7\" /> <w:LsdException Locked=\"false\" Priority=\"9\" QFormat=\"true\" Name=\"heading 8\" /> <w:LsdException Locked=\"false\" Priority=\"9\" QFormat=\"true\" Name=\"heading 9\" /> <w:LsdException Locked=\"false\" Priority=\"39\" Name=\"toc 1\" /> <w:LsdException Locked=\"false\" Priority=\"39\" Name=\"toc 2\" /> <w:LsdException Locked=\"false\" Priority=\"39\" Name=\"toc 3\" /> <w:LsdException Locked=\"false\" Priority=\"39\" Name=\"toc 4\" /> <w:LsdException Locked=\"false\" Priority=\"39\" Name=\"toc 5\" /> <w:LsdException Locked=\"false\" Priority=\"39\" Name=\"toc 6\" /> <w:LsdException Locked=\"false\" Priority=\"39\" Name=\"toc 7\" /> <w:LsdException Locked=\"false\" Priority=\"39\" Name=\"toc 8\" /> <w:LsdException Locked=\"false\" Priority=\"39\" Name=\"toc 9\" /> <w:LsdException Locked=\"false\" Priority=\"35\" QFormat=\"true\" Name=\"caption\" /> <w:LsdException Locked=\"false\" Priority=\"10\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" QFormat=\"true\" Name=\"Title\" /> <w:LsdException Locked=\"false\" Priority=\"1\" Name=\"Default Paragraph Font\" /> <w:LsdException Locked=\"false\" Priority=\"11\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" QFormat=\"true\" Name=\"Subtitle\" /> <w:LsdException Locked=\"false\" Priority=\"22\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" QFormat=\"true\" Name=\"Strong\" /> <w:LsdException Locked=\"false\" Priority=\"20\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" QFormat=\"true\" Name=\"Emphasis\" /> <w:LsdException Locked=\"false\" Priority=\"59\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Table Grid\" /> <w:LsdException Locked=\"false\" UnhideWhenUsed=\"false\" Name=\"Placeholder Text\" /> <w:LsdException Locked=\"false\" Priority=\"1\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" QFormat=\"true\" Name=\"No Spacing\" /> <w:LsdException Locked=\"false\" Priority=\"60\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Light Shading\" /> <w:LsdException Locked=\"false\" Priority=\"61\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Light List\" /> <w:LsdException Locked=\"false\" Priority=\"62\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Light Grid\" /> <w:LsdException Locked=\"false\" Priority=\"63\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Medium Shading 1\" /> <w:LsdException Locked=\"false\" Priority=\"64\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Medium Shading 2\" /> <w:LsdException Locked=\"false\" Priority=\"65\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Medium List 1\" /> <w:LsdException Locked=\"false\" Priority=\"66\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Medium List 2\" /> <w:LsdException Locked=\"false\" Priority=\"67\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Medium Grid 1\" /> <w:LsdException Locked=\"false\" Priority=\"68\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Medium Grid 2\" /> <w:LsdException Locked=\"false\" Priority=\"69\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Medium Grid 3\" /> <w:LsdException Locked=\"false\" Priority=\"70\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Dark List\" /> <w:LsdException Locked=\"false\" Priority=\"71\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Colorful Shading\" /> <w:LsdException Locked=\"false\" Priority=\"72\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Colorful List\" /> <w:LsdException Locked=\"false\" Priority=\"73\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Colorful Grid\" /> <w:LsdException Locked=\"false\" Priority=\"60\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Light Shading Accent 1\" /> <w:LsdException Locked=\"false\" Priority=\"61\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Light List Accent 1\" /> <w:LsdException Locked=\"false\" Priority=\"62\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Light Grid Accent 1\" /> <w:LsdException Locked=\"false\" Priority=\"63\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Medium Shading 1 Accent 1\" /> <w:LsdException Locked=\"false\" Priority=\"64\" SemiHidden=\"false\"
   UnhideWhenUsed=\"false\" Name=\"Medium Shading 2 Accent 1\" /> <w:LsdException Locked=\"false\" Priority=\"65\" SemiHidden=\"false\"
